file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\apache-maven\src\assembly\maven\bin\JvmConfigParser.java,JvmConfigParser,,105,0,0,0,0,60,0,0,10,3,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-annotations\src\main\java\org\apache\maven\api\annotations\Config.java,Config,org.apache.maven.api.annotations,21,0,0,0,0,48,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-annotations\src\main\java\org\apache\maven\api\annotations\Consumer.java,Consumer,org.apache.maven.api.annotations,11,0,0,0,0,35,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-annotations\src\main\java\org\apache\maven\api\annotations\Experimental.java,Experimental,org.apache.maven.api.annotations,8,0,0,0,0,30,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-annotations\src\main\java\org\apache\maven\api\annotations\Generated.java,Generated,org.apache.maven.api.annotations,11,0,0,0,0,32,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-annotations\src\main\java\org\apache\maven\api\annotations\Immutable.java,Immutable,org.apache.maven.api.annotations,12,0,0,0,0,33,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-annotations\src\main\java\org\apache\maven\api\annotations\Nonnull.java,Nonnull,org.apache.maven.api.annotations,11,0,0,0,0,36,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-annotations\src\main\java\org\apache\maven\api\annotations\NotThreadSafe.java,NotThreadSafe,org.apache.maven.api.annotations,11,0,0,0,0,33,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-annotations\src\main\java\org\apache\maven\api\annotations\Nullable.java,Nullable,org.apache.maven.api.annotations,8,0,0,0,0,29,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-annotations\src\main\java\org\apache\maven\api\annotations\package-info.java,package-info,contains,2,0,0,0,0,25,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-annotations\src\main\java\org\apache\maven\api\annotations\Provider.java,Provider,org.apache.maven.api.annotations,11,0,0,0,0,35,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-annotations\src\main\java\org\apache\maven\api\annotations\ThreadSafe.java,ThreadSafe,org.apache.maven.api.annotations,11,0,0,0,0,33,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\CoreExtensions.java,CoreExtensions,org.apache.maven.api.cli,14,0,0,0,0,35,0,0,0,0,6,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\Invoker.java,Invoker,org.apache.maven.api.cli,9,0,0,0,0,37,1,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\InvokerException.java,InvokerException,org.apache.maven.api.cli,23,1,1,1,0,36,1,0,0,0,3,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\InvokerRequest.java,InvokerRequest,org.apache.maven.api.cli,65,0,0,0,0,54,0,0,1,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\Logger.java,Logger,org.apache.maven.api.cli,50,0,0,0,0,44,0,0,1,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\Options.java,Options,org.apache.maven.api.cli,55,0,0,0,0,40,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\package-info.java,package-info,contains,1,0,0,0,0,38,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\Parser.java,Parser,org.apache.maven.api.cli,8,0,0,0,0,32,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\ParserRequest.java,ParserRequest,org.apache.maven.api.cli,279,22,22,27,0,70,0,0,5,0,16,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\Tools.java,Tools,org.apache.maven.api.cli,16,0,0,0,0,41,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\cisupport\CIInfo.java,CIInfo,org.apache.maven.api.cli.cisupport,13,0,0,0,0,31,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\extensions\package-info.java,package-info,contains,1,0,0,0,0,27,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\logging\AccumulatingLogger.java,AccumulatingLogger,org.apache.maven.api.cli.logging,19,2,2,1,0,35,0,1,1,1,5,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\logging\package-info.java,package-info,includes,1,0,0,0,0,35,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\mvn\MavenOptions.java,MavenOptions,org.apache.maven.api.cli.mvn,54,0,0,0,0,43,1,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\mvn\package-info.java,package-info,contains,1,0,0,0,0,35,0,0,0,0,0,1,apache-maven
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-maven\api\maven-api-cli\src\main\java\org\apache\maven\api\cli\mvnenc\EncryptOptions.java,EncryptOptions,org.apache.maven.api.cli.mvnenc,13,0,0,0,0,34,1,0,0,0,0,1,apache-maven
