file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\Generated.java,Generated,jakarta.annotation,15,0,0,0,0,42,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\Nonnull.java,Nonnull,jakarta.annotation,8,0,0,0,0,30,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\Nullable.java,Nullable,jakarta.annotation,8,0,0,0,0,30,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\PostConstruct.java,PostConstruct,jakarta.annotation,11,0,0,0,0,34,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\PreDestroy.java,PreDestroy,jakarta.annotation,11,0,0,0,0,34,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\Priority.java,Priority,jakarta.annotation,9,0,0,0,0,30,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\Resource.java,Resource,jakarta.annotation,22,0,0,0,0,44,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\Resources.java,Resources,jakarta.annotation,12,0,0,0,0,34,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\security\DeclareRoles.java,DeclareRoles,jakarta.annotation.security,12,0,0,0,0,32,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\security\DenyAll.java,DenyAll,jakarta.annotation.security,11,0,0,0,0,34,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\security\PermitAll.java,PermitAll,jakarta.annotation.security,11,0,0,0,0,34,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\security\RolesAllowed.java,RolesAllowed,jakarta.annotation.security,12,0,0,0,0,33,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\security\RunAs.java,RunAs,jakarta.annotation.security,12,0,0,0,0,32,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\sql\DataSourceDefinition.java,DataSourceDefinition,jakarta.annotation.sql,29,0,0,0,0,33,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\annotation\sql\DataSourceDefinitions.java,DataSourceDefinitions,jakarta.annotation.sql,10,0,0,0,0,32,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\ejb\EJB.java,EJB,jakarta.ejb,16,0,0,0,0,35,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\ejb\EJBs.java,EJBs,jakarta.ejb,10,0,0,0,0,30,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\ArrayELResolver.java,ArrayELResolver,jakarta.el,114,3,3,2,0,41,1,1,9,19,21,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\BeanELResolver.java,BeanELResolver,jakarta.el,216,11,11,9,4,54,1,6,20,27,23,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\BeanNameELResolver.java,BeanNameELResolver,jakarta.el,99,3,3,1,0,36,1,2,4,8,28,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\BeanNameResolver.java,BeanNameResolver,jakarta.el,18,5,5,0,0,32,0,0,0,0,3,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\BeanSupport.java,BeanSupport,jakarta.el,35,0,0,1,0,37,0,0,2,2,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\BeanSupportFull.java,BeanSupportFull,jakarta.el,65,1,1,1,1,41,1,0,6,13,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\BeanSupportStandalone.java,BeanSupportStandalone,jakarta.el,174,2,2,9,1,48,1,2,15,28,16,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\CompositeELResolver.java,CompositeELResolver,jakarta.el,150,5,5,5,0,61,1,3,9,16,21,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\ELClass.java,ELClass,jakarta.el,10,0,0,0,0,25,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\ELContext.java,ELContext,jakarta.el,194,17,17,5,0,65,0,14,12,13,12,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\ELContextEvent.java,ELContextEvent,jakarta.el,13,1,1,1,0,27,1,0,0,0,3,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\ELContextListener.java,ELContextListener,jakarta.el,4,0,0,0,0,25,1,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\ELException.java,ELException,jakarta.el,18,0,0,1,0,27,1,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\ELManager.java,ELManager,jakarta.el,52,11,11,1,0,36,0,10,2,1,8,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\ELProcessor.java,ELProcessor,jakarta.el,229,8,8,7,0,59,0,4,22,24,8,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\ELResolver.java,ELResolver,jakarta.el,19,1,1,0,0,42,0,0,1,1,3,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\EvaluationListener.java,EvaluationListener,jakarta.el,9,3,3,0,0,28,0,0,0,0,2,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\Expression.java,Expression,jakarta.el,13,0,0,1,0,26,0,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\ExpressionFactory.java,ExpressionFactory,jakarta.el,209,7,7,8,0,84,0,5,20,15,13,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\ExpressionFactoryCache.java,ExpressionFactoryCache,jakarta.el,33,0,0,1,0,38,0,0,5,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\FunctionMapper.java,FunctionMapper,jakarta.el,7,1,1,0,0,29,0,0,0,0,2,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\ImportHandler.java,ImportHandler,jakarta.el,383,3,3,3,0,261,0,3,28,16,4,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\LambdaExpression.java,LambdaExpression,jakarta.el,51,3,3,4,0,35,0,2,8,1,3,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\ListELResolver.java,ListELResolver,jakarta.el,103,3,3,1,0,51,1,2,10,7,20,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\MapELResolver.java,MapELResolver,jakarta.el,70,3,3,1,0,38,1,2,7,7,17,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\MethodExpression.java,MethodExpression,jakarta.el,16,2,2,1,0,39,1,2,1,0,5,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\MethodInfo.java,MethodInfo,jakarta.el,58,3,3,1,0,26,0,2,4,1,27,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\MethodNotFoundException.java,MethodNotFoundException,jakarta.el,18,0,0,1,0,26,1,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\MethodReference.java,MethodReference,jakarta.el,68,6,6,4,0,32,0,2,4,1,30,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\OptionalELResolver.java,OptionalELResolver,jakarta.el,90,4,4,0,0,39,1,0,6,10,15,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\PropertyNotFoundException.java,PropertyNotFoundException,jakarta.el,18,0,0,1,0,26,1,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\PropertyNotWritableException.java,PropertyNotWritableException,jakarta.el,18,0,0,1,0,26,1,0,0,0,0,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\RecordELResolver.java,RecordELResolver,jakarta.el,81,3,3,0,0,47,1,0,6,14,21,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\ResourceBundleELResolver.java,ResourceBundleELResolver,jakarta.el,57,3,3,0,0,33,1,0,5,5,14,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\StandardELContext.java,StandardELContext,jakarta.el,145,15,15,9,0,51,1,11,8,7,10,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\StaticFieldELResolver.java,StaticFieldELResolver,jakarta.el,124,4,4,0,0,49,1,0,8,16,43,1,apache-tomcat
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\apache-tomcat\java\jakarta\el\TypeConverter.java,TypeConverter,jakarta.el,24,3,3,0,0,30,1,0,0,0,3,1,apache-tomcat
