file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-col-sim\src\main\java\commons\col\v1\ProcessorCommonscol5.java,ProcessorCommonscol5,commons.col.v1,30,7,7,0,6,3,0,0,1,0,4,1,commons-col-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-col-sim\src\main\java\commons\col\v1\RegistryCommonscol8.java,RegistryCommonscol8,commons.col.v1,73,1,1,0,0,2,0,0,0,0,70,1,commons-col-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-col-sim\src\main\java\commons\col\v2\AdapterCommonscol3.java,AdapterCommonscol3,commons.col.v2,12,4,4,1,0,5,0,3,3,0,3,1,commons-col-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-col-sim\src\main\java\commons\col\v2\ApplicationCommonscol1.java,ApplicationCommonscol1,commons.col.v2,148,15,15,26,0,2,0,0,0,0,10,1,commons-col-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-col-sim\src\main\java\commons\col\v2\BuilderCommonscol11.java,BuilderCommonscol11,commons.col.v2,146,14,14,20,0,2,0,0,0,0,10,1,commons-col-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-col-sim\src\main\java\commons\col\v2\ControllerCommonscol2.java,ControllerCommonscol2,commons.col.v2,27,16,16,8,0,2,0,8,0,0,1,1,commons-col-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-col-sim\src\main\java\commons\col\v2\CoordinatorCommonscol12.java,CoordinatorCommonscol12,commons.col.v2,12,4,4,1,0,5,0,3,3,0,3,1,commons-col-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-col-sim\src\main\java\commons\col\v2\EngineCommonscol7.java,EngineCommonscol7,commons.col.v2,20,1,1,1,0,3,0,0,1,14,15,1,commons-col-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-col-sim\src\main\java\commons\col\v2\OrchestratorCommonscol9.java,OrchestratorCommonscol9,commons.col.v2,22,5,5,0,4,3,0,0,1,0,4,1,commons-col-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-col-sim\src\main\java\commons\col\v2\ValidatorCommonscol4.java,ValidatorCommonscol4,commons.col.v2,12,4,4,1,0,5,0,3,3,0,3,1,commons-col-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-col-sim\src\main\java\commons\col\v3\ConverterCommonscol6.java,ConverterCommonscol6,commons.col.v3,74,1,1,0,0,2,0,0,0,0,71,1,commons-col-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-col-sim\src\main\java\commons\col\v3\ExecutorCommonscol10.java,ExecutorCommonscol10,commons.col.v3,39,24,24,12,0,2,0,12,0,0,1,1,commons-col-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-col-sim\src\main\java\commons\col\v3\RegistryCommonscol0.java,RegistryCommonscol0,commons.col.v3,158,16,16,27,0,2,0,0,0,0,10,1,commons-col-sim
