file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-collections\src\main\java\org\apache\commons\collections4\ArrayStack.java,ArrayStack,org.apache.commons.collections4,54,6,6,1,0,48,1,6,1,0,14,1,commons-collections
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-collections\src\main\java\org\apache\commons\collections4\ArrayUtils.java,ArrayUtils,org.apache.commons.collections4,33,0,0,0,0,38,0,0,1,0,0,1,commons-collections
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-collections\src\main\java\org\apache\commons\collections4\Bag.java,Bag,org.apache.commons.collections4,24,0,0,0,0,48,1,0,2,0,0,1,commons-collections
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-collections\src\main\java\org\apache\commons\collections4\BagUtils.java,BagUtils,org.apache.commons.collections4,58,0,0,0,0,62,1,0,11,0,0,1,commons-collections
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-collections\src\main\java\org\apache\commons\collections4\BidiMap.java,BidiMap,org.apache.commons.collections4,11,0,0,0,0,48,1,0,2,0,0,1,commons-collections
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-collections\src\main\java\org\apache\commons\collections4\BoundedCollection.java,BoundedCollection,org.apache.commons.collections4,6,0,0,0,0,29,1,0,0,0,0,1,commons-collections
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-collections\src\main\java\org\apache\commons\collections4\BoundedMap.java,BoundedMap,org.apache.commons.collections4,5,0,0,0,0,28,1,0,0,0,0,1,commons-collections
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-collections\src\main\java\org\apache\commons\collections4\Closure.java,Closure,org.apache.commons.collections4,10,0,0,0,0,37,1,0,0,0,0,1,commons-collections
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-collections\src\main\java\org\apache\commons\collections4\ClosureUtils.java,ClosureUtils,org.apache.commons.collections4,86,0,0,0,0,62,1,0,7,2,0,1,commons-collections
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-collections\src\main\java\org\apache\commons\collections4\CollectionUtils.java,CollectionUtils,org.apache.commons.collections4,789,9,9,3,1,141,1,7,57,10,8,1,commons-collections
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-collections\src\main\java\org\apache\commons\collections4\ComparatorUtils.java,ComparatorUtils,org.apache.commons.collections4,77,0,0,1,0,47,1,0,5,0,0,1,commons-collections
