file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\AnnotationUtils.java,AnnotationUtils,org.apache.commons.lang3,203,2,2,2,0,61,1,2,18,13,6,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\AppendableJoiner.java,AppendableJoiner,org.apache.commons.lang3,119,7,7,8,0,56,1,0,9,2,4,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\ArchUtils.java,ArchUtils,org.apache.commons.lang3,68,0,0,1,0,50,0,0,3,1,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\ArrayFill.java,ArrayFill,org.apache.commons.lang3,70,0,0,0,0,31,1,0,2,0,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\ArraySorter.java,ArraySorter,org.apache.commons.lang3,62,0,0,0,0,33,0,0,1,0,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\ArrayUtils.java,ArrayUtils,org.apache.commons.lang3,3256,0,0,0,0,203,1,0,44,31,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\BitField.java,BitField,org.apache.commons.lang3,88,25,25,2,0,41,0,23,8,6,3,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\BooleanUtils.java,BooleanUtils,org.apache.commons.lang3,366,0,0,1,0,79,0,0,11,0,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\CachedRandomBits.java,CachedRandomBits,org.apache.commons.lang3,43,1,1,7,0,59,0,0,3,0,22,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\CharEncoding.java,CharEncoding,org.apache.commons.lang3,27,0,0,0,0,59,0,0,7,0,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\CharRange.java,CharRange,org.apache.commons.lang3,153,13,13,8,1,58,0,7,3,0,19,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\CharSequenceUtils.java,CharSequenceUtils,org.apache.commons.lang3,211,0,0,1,0,62,0,0,6,0,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\CharSet.java,CharSet,org.apache.commons.lang3,91,5,5,2,0,73,0,4,7,9,23,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\Charsets.java,Charsets,org.apache.commons.lang3,14,0,0,0,0,33,0,0,1,0,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\CharSetUtils.java,CharSetUtils,org.apache.commons.lang3,96,0,0,0,0,45,0,0,6,4,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\CharUtils.java,CharUtils,org.apache.commons.lang3,99,0,0,2,0,65,0,0,8,1,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\ClassLoaderUtils.java,ClassLoaderUtils,org.apache.commons.lang3,29,0,0,1,0,39,0,0,6,2,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\ClassPathUtils.java,ClassPathUtils,org.apache.commons.lang3,33,0,0,0,0,44,0,0,3,6,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\ClassUtils.java,ClassUtils,org.apache.commons.lang3,648,5,5,5,1,147,0,5,47,74,8,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\Conversion.java,Conversion,org.apache.commons.lang3,762,0,0,16,0,79,0,0,22,6,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\DoubleRange.java,DoubleRange,org.apache.commons.lang3,16,1,1,1,0,31,1,0,3,0,3,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\EnumUtils.java,EnumUtils,org.apache.commons.lang3,145,0,0,4,0,67,1,0,23,6,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\Functions.java,Functions,org.apache.commons.lang3,169,0,0,0,0,98,1,0,12,2,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\IntegerRange.java,IntegerRange,org.apache.commons.lang3,20,2,2,1,0,32,1,2,3,0,3,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\JavaVersion.java,JavaVersion,org.apache.commons.lang3,147,3,3,2,0,71,0,2,7,1,3,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\LocaleUtils.java,LocaleUtils,org.apache.commons.lang3,169,0,0,7,0,88,0,0,20,11,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\LongRange.java,LongRange,org.apache.commons.lang3,20,2,2,1,0,32,1,2,3,0,3,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\NotImplementedException.java,NotImplementedException,org.apache.commons.lang3,32,1,1,2,0,34,1,0,0,0,3,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\NumberRange.java,NumberRange,org.apache.commons.lang3,8,0,0,1,0,32,1,0,0,0,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\ObjectUtils.java,ObjectUtils,org.apache.commons.lang3,349,1,1,2,1,136,1,0,30,26,3,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\package-info.java,package-info,contains,1,0,0,0,0,101,0,0,3,0,0,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\RandomStringUtils.java,RandomStringUtils,org.apache.commons.lang3,293,21,21,13,2,106,0,20,7,1,6,1,commons-lang
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-lang\src\main\java\org\apache\commons\lang3\RandomUtils.java,RandomUtils,org.apache.commons.lang3,150,12,12,6,1,65,0,11,6,1,9,1,commons-lang
