file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-sim\src\main\java\commons\v1\ApplicationCommons7.java,ApplicationCommons7,commons.v1,12,4,4,1,0,5,0,3,3,0,3,1,commons-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-sim\src\main\java\commons\v1\CoordinatorCommons13.java,CoordinatorCommons13,commons.v1,12,4,4,1,0,5,0,3,3,0,3,1,commons-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-sim\src\main\java\commons\v1\ExecutorCommons10.java,ExecutorCommons10,commons.v1,78,1,1,0,0,2,0,0,0,0,75,1,commons-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-sim\src\main\java\commons\v1\ProcessorCommons12.java,ProcessorCommons12,commons.v1,74,1,1,0,0,2,0,0,0,0,71,1,commons-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-sim\src\main\java\commons\v2\CalculatorCommons0.java,CalculatorCommons0,commons.v2,191,20,20,28,0,2,0,0,0,0,10,1,commons-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-sim\src\main\java\commons\v2\ControllerCommons3.java,ControllerCommons3,commons.v2,19,1,1,1,0,3,0,0,1,13,14,1,commons-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-sim\src\main\java\commons\v2\FormatterCommons2.java,FormatterCommons2,commons.v2,12,4,4,1,0,5,0,3,3,0,3,1,commons-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-sim\src\main\java\commons\v2\HandlerCommons1.java,HandlerCommons1,commons.v2,30,18,18,9,0,2,0,9,0,0,1,1,commons-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-sim\src\main\java\commons\v2\ProcessorCommons5.java,ProcessorCommons5,commons.v2,17,1,1,1,0,3,0,0,1,11,12,1,commons-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-sim\src\main\java\commons\v3\AdapterCommons8.java,AdapterCommons8,commons.v3,12,4,4,1,0,5,0,3,3,0,3,1,commons-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-sim\src\main\java\commons\v3\CoordinatorCommons6.java,CoordinatorCommons6,commons.v3,64,1,1,0,0,2,0,0,0,0,61,1,commons-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-sim\src\main\java\commons\v3\DispatcherCommons4.java,DispatcherCommons4,commons.v3,197,22,22,25,0,2,0,0,0,0,10,1,commons-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-sim\src\main\java\commons\v3\ParserCommons11.java,ParserCommons11,commons.v3,12,4,4,1,0,5,0,3,3,0,3,1,commons-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\commons-sim\src\main\java\commons\v3\ResolverCommons9.java,ResolverCommons9,commons.v3,12,4,4,1,0,5,0,3,3,0,3,1,commons-sim
