file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v1\EvaluatorGson14.java,EvaluatorGson14,gson.v1,27,16,16,8,0,2,0,8,0,0,1,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v1\FactoryGson10.java,FactoryGson10,gson.v1,24,14,14,7,0,2,0,7,0,0,1,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v1\OrchestratorGson9.java,OrchestratorGson9,gson.v1,30,7,7,0,6,3,0,0,1,0,4,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v2\AnalyzerGson12.java,AnalyzerGson12,gson.v2,77,1,1,0,0,2,0,0,0,0,74,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v2\ConverterGson8.java,ConverterGson8,gson.v2,42,26,26,13,0,2,0,13,0,0,1,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v2\CoordinatorGson3.java,CoordinatorGson3,gson.v2,27,16,16,8,0,2,0,8,0,0,1,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v2\HandlerGson5.java,HandlerGson5,gson.v2,12,4,4,1,0,5,0,3,3,0,3,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v2\HandlerGson6.java,HandlerGson6,gson.v2,141,15,15,21,0,2,0,0,0,0,10,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v2\OrchestratorGson16.java,OrchestratorGson16,gson.v2,152,16,16,21,0,2,0,0,0,0,10,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v2\ParserGson4.java,ParserGson4,gson.v2,78,1,1,0,0,2,0,0,0,0,75,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v2\TransformerGson15.java,TransformerGson15,gson.v2,12,4,4,1,0,5,0,3,3,0,3,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v2\ValidatorGson11.java,ValidatorGson11,gson.v2,12,4,4,1,0,5,0,3,3,0,3,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v3\AnalyzerGson7.java,AnalyzerGson7,gson.v3,147,15,15,27,0,2,0,0,0,0,10,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v3\CalculatorGson13.java,CalculatorGson13,gson.v3,42,26,26,13,0,2,0,13,0,0,1,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v3\EvaluatorGson1.java,EvaluatorGson1,gson.v3,12,4,4,1,0,5,0,3,3,0,3,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v3\FactoryGson0.java,FactoryGson0,gson.v3,12,4,4,1,0,5,0,3,3,0,3,1,gson-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\gson-sim\src\main\java\gson\v3\TransformerGson2.java,TransformerGson2,gson.v3,26,6,6,0,5,3,0,0,1,0,4,1,gson-sim
