file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\annotations\Beta.java,Beta,com.google.common.annotations,17,0,0,0,0,44,0,0,0,0,0,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\annotations\GwtCompatible.java,GwtCompatible,com.google.common.annotations,14,0,0,0,0,46,0,0,0,0,0,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\annotations\GwtIncompatible.java,GwtIncompatible,com.google.common.annotations,13,0,0,0,0,46,0,0,0,0,0,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\annotations\J2ktIncompatible.java,J2ktIncompatible,com.google.common.annotations,9,0,0,0,0,34,0,0,0,0,0,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\annotations\package-info.java,package-info,is,1,0,0,0,0,24,0,0,0,0,0,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\annotations\VisibleForTesting.java,VisibleForTesting,com.google.common.annotations,4,0,0,0,0,31,0,0,0,0,0,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\Absent.java,Absent,com.google.common.base,68,10,10,0,1,37,1,0,3,0,4,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\AbstractIterator.java,AbstractIterator,com.google.common.base,62,1,1,1,1,39,0,0,0,0,9,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\Ascii.java,Ascii,com.google.common.base,159,0,0,1,0,156,0,0,7,0,0,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\CaseFormat.java,CaseFormat,com.google.common.base,150,5,5,4,0,52,1,3,10,0,7,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\CharMatcher.java,CharMatcher,com.google.common.base,1036,104,104,16,1,243,1,95,30,5,25,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\Charsets.java,Charsets,com.google.common.base,20,0,0,0,0,58,0,0,0,0,0,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\CommonMatcher.java,CommonMatcher,com.google.common.base,11,0,0,0,0,27,0,0,0,0,0,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\CommonPattern.java,CommonPattern,com.google.common.base,16,0,0,0,0,32,0,0,1,0,0,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\Converter.java,Converter,com.google.common.base,250,25,25,1,1,118,1,25,10,0,19,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\Defaults.java,Defaults,com.google.common.base,36,0,0,2,0,41,0,0,6,0,0,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\Enums.java,Enums,com.google.common.base,87,5,5,1,0,54,1,4,9,6,7,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\Equivalence.java,Equivalence,com.google.common.base,155,15,15,1,2,83,1,14,8,0,15,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\ExtraObjectsMethodsForWeb.java,ExtraObjectsMethodsForWeb,com.google.common.base,4,0,0,0,0,26,0,0,0,0,0,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\FinalizablePhantomReference.java,FinalizablePhantomReference,com.google.common.base,15,0,0,0,0,35,1,0,1,0,0,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\FinalizableReference.java,FinalizableReference,com.google.common.base,10,0,0,0,0,33,0,0,0,0,0,1,guava
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\guava\android\guava\src\com\google\common\base\FinalizableReferenceQueue.java,MyServer,com.google.common.base,156,1,1,4,0,113,0,0,24,4,4,1,guava
