file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v1\AdapterLog4J3.java,AdapterLog4J3,log4j.v1,16,1,1,1,0,3,0,0,1,10,11,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v1\CalculatorLog4J9.java,CalculatorLog4J9,log4j.v1,12,4,4,1,0,5,0,3,3,0,3,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v1\EngineLog4J8.java,EngineLog4J8,log4j.v1,22,5,5,0,4,3,0,0,1,0,4,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v1\FactoryLog4J6.java,FactoryLog4J6,log4j.v1,188,21,21,25,0,2,0,0,0,0,10,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v2\ApplicationLog4J11.java,ApplicationLog4J11,log4j.v2,36,22,22,11,0,2,0,11,0,0,1,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v2\OrchestratorLog4J10.java,OrchestratorLog4J10,log4j.v2,181,20,20,20,0,2,0,1,0,0,10,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v2\ServiceLog4J14.java,ServiceLog4J14,log4j.v2,174,19,19,20,0,2,0,0,0,0,10,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v3\ApplicationLog4J1.java,ApplicationLog4J1,log4j.v3,65,1,1,0,0,2,0,0,0,0,62,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v3\CalculatorLog4J0.java,CalculatorLog4J0,log4j.v3,42,26,26,13,0,2,0,13,0,0,1,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v3\ConverterLog4J12.java,ConverterLog4J12,log4j.v3,12,4,4,1,0,5,0,3,3,0,3,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v3\DispatcherLog4J15.java,DispatcherLog4J15,log4j.v3,67,1,1,0,0,2,0,0,0,0,64,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v3\DispatcherLog4J7.java,DispatcherLog4J7,log4j.v3,42,26,26,13,0,2,0,13,0,0,1,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v3\EngineLog4J17.java,EngineLog4J17,log4j.v3,16,1,1,1,0,3,0,0,1,10,11,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v3\EvaluatorLog4J16.java,EvaluatorLog4J16,log4j.v3,78,1,1,0,0,2,0,0,0,0,75,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v3\FactoryLog4J13.java,FactoryLog4J13,log4j.v3,19,1,1,1,0,3,0,0,1,13,14,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v3\ManagerLog4J4.java,ManagerLog4J4,log4j.v3,70,1,1,0,0,2,0,0,0,0,67,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v3\OrchestratorLog4J5.java,OrchestratorLog4J5,log4j.v3,77,1,1,0,0,2,0,0,0,0,74,1,log4j-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j-sim\src\main\java\log4j\v3\ServiceLog4J2.java,ServiceLog4J2,log4j.v3,12,4,4,1,0,5,0,3,3,0,3,1,log4j-sim
