file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\Appender.java,Appender,org.apache.log4j,18,0,0,0,0,42,0,0,0,0,0,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\AppenderSkeleton.java,AppenderSkeleton,org.apache.log4j,94,18,18,0,0,39,0,0,2,1,8,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\BasicConfigurator.java,BasicConfigurator,org.apache.log4j,14,0,0,0,0,40,0,0,3,5,0,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\Category.java,Category,org.apache.log4j,412,45,45,1,4,104,0,44,27,39,22,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\CategoryKey.java,CategoryKey,org.apache.log4j,24,0,0,0,0,25,0,0,2,1,0,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\ConsoleAppender.java,ConsoleAppender,org.apache.log4j,51,7,7,1,0,43,1,6,4,2,10,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\DefaultCategoryFactory.java,DefaultCategoryFactory,org.apache.log4j,9,1,1,0,0,26,0,0,0,0,3,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\DefaultThrowableRenderer.java,DefaultThrowableRenderer,org.apache.log4j,47,1,1,0,0,39,0,0,7,0,3,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\FileAppender.java,FileAppender,org.apache.log4j,135,12,12,0,0,71,1,0,6,0,13,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\Hierarchy.java,Hierarchy,org.apache.log4j,273,28,28,6,3,97,1,26,23,16,10,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\Layout.java,Layout,org.apache.log4j,18,3,3,0,0,38,0,0,1,0,3,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\Level.java,Level,org.apache.log4j,107,3,3,1,2,60,1,3,2,0,0,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\Logger.java,Logger,org.apache.log4j,34,3,3,1,0,35,1,2,4,9,3,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\LogManager.java,LogManager,org.apache.log4j,143,0,0,2,0,59,0,0,9,22,0,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\MDC.java,MDC,org.apache.log4j,40,0,0,1,0,33,0,0,3,0,0,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\NDC.java,NDC,org.apache.log4j,42,0,0,0,0,52,0,0,2,4,0,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\package-info.java,package-info,org.apache.log4j,5,0,0,0,0,25,0,0,0,0,0,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\PatternLayout.java,PatternLayout,org.apache.log4j,51,6,6,3,0,49,1,4,2,1,13,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\Priority.java,Priority,org.apache.log4j,91,3,3,0,0,58,0,0,2,0,7,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\PropertyConfigurator.java,PropertyConfigurator,org.apache.log4j,469,20,20,15,10,119,1,13,49,47,64,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\ProvisionNode.java,ProvisionNode,org.apache.log4j,9,0,0,1,0,25,1,0,0,0,0,1,log4j2
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\RenderedMessage.java,RenderedMessage,org.apache.log4j,31,4,4,3,0,29,0,4,1,0,6,1,log4j2
