file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v1\AdapterMaven14.java,AdapterMaven14,maven.v1,136,15,15,19,0,2,0,0,0,0,9,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v1\DispatcherMaven10.java,DispatcherMaven10,maven.v1,12,4,4,1,0,5,0,3,3,0,3,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v1\ExecutorMaven13.java,ExecutorMaven13,maven.v1,19,1,1,1,0,3,0,0,1,13,14,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v1\ExecutorMaven5.java,ExecutorMaven5,maven.v1,21,12,12,6,0,2,0,6,0,0,1,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v1\FactoryMaven0.java,FactoryMaven0,maven.v1,12,4,4,1,0,5,0,3,3,0,3,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v1\ManagerMaven6.java,ManagerMaven6,maven.v1,30,7,7,0,6,3,0,0,1,0,4,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v1\ServiceMaven16.java,ServiceMaven16,maven.v1,33,20,20,10,0,2,0,10,0,0,1,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v2\BuilderMaven12.java,BuilderMaven12,maven.v2,75,1,1,0,0,2,0,0,0,0,72,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v2\OrchestratorMaven1.java,OrchestratorMaven1,maven.v2,12,4,4,1,0,5,0,3,3,0,3,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v2\ResolverMaven9.java,ResolverMaven9,maven.v2,146,15,15,27,0,2,0,0,0,0,10,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v2\SchedulerMaven7.java,SchedulerMaven7,maven.v2,12,4,4,1,0,5,0,3,3,0,3,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v3\ApplicationMaven4.java,ApplicationMaven4,maven.v3,187,20,20,27,0,2,0,0,0,0,10,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v3\ControllerMaven2.java,ControllerMaven2,maven.v3,18,4,4,0,3,3,0,0,1,0,4,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v3\FormatterMaven11.java,FormatterMaven11,maven.v3,21,12,12,6,0,2,0,6,0,0,1,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v3\HandlerMaven3.java,HandlerMaven3,maven.v3,26,6,6,0,5,3,0,0,1,0,4,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v3\RegistryMaven8.java,RegistryMaven8,maven.v3,18,1,1,1,0,3,0,0,1,12,13,1,maven-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\maven-sim\src\main\java\maven\v3\ValidatorMaven15.java,ValidatorMaven15,maven.v3,36,22,22,11,0,2,0,11,0,0,1,1,maven-sim
