file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v1\SchedulerMybatis0.java,SchedulerMybatis0,mybatis.v1,22,5,5,0,4,3,0,0,1,0,4,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v2\FactoryMybatis10.java,FactoryMybatis10,mybatis.v2,209,22,22,27,0,2,0,0,0,0,10,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v2\FactoryMybatis12.java,FactoryMybatis12,mybatis.v2,12,4,4,1,0,5,0,3,3,0,3,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v2\FormatterMybatis1.java,FormatterMybatis1,mybatis.v2,24,14,14,7,0,2,0,7,0,0,1,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v2\ManagerMybatis13.java,ManagerMybatis13,mybatis.v2,12,4,4,1,0,5,0,3,3,0,3,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v2\ManagerMybatis14.java,ManagerMybatis14,mybatis.v2,12,4,4,1,0,5,0,3,3,0,3,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v2\ResolverMybatis6.java,ResolverMybatis6,mybatis.v2,21,12,12,6,0,2,0,6,0,0,1,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v3\AnalyzerMybatis16.java,AnalyzerMybatis16,mybatis.v3,12,4,4,1,0,5,0,3,3,0,3,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v3\BuilderMybatis3.java,BuilderMybatis3,mybatis.v3,18,4,4,0,3,3,0,0,1,0,4,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v3\ConverterMybatis9.java,ConverterMybatis9,mybatis.v3,12,4,4,1,0,5,0,3,3,0,3,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v3\DispatcherMybatis2.java,DispatcherMybatis2,mybatis.v3,12,4,4,1,0,5,0,3,3,0,3,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v3\DispatcherMybatis5.java,DispatcherMybatis5,mybatis.v3,204,22,22,19,0,2,0,4,0,0,10,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v3\EngineMybatis7.java,EngineMybatis7,mybatis.v3,160,17,17,19,0,2,0,0,0,0,10,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v3\EvaluatorMybatis4.java,EvaluatorMybatis4,mybatis.v3,204,22,22,22,0,2,0,1,0,0,10,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v3\EvaluatorMybatis8.java,EvaluatorMybatis8,mybatis.v3,26,6,6,0,5,3,0,0,1,0,4,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v3\HandlerMybatis15.java,HandlerMybatis15,mybatis.v3,33,20,20,10,0,2,0,10,0,0,1,1,mybatis-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis-sim\src\main\java\mybatis\v3\SchedulerMybatis11.java,SchedulerMybatis11,mybatis.v3,22,5,5,0,4,3,0,0,1,0,4,1,mybatis-sim
