file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,,68,1,1,2,0,48,0,0,13,8,3,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\package-info.java,package-info,org.apache.ibatis,1,0,0,0,0,21,0,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\AnnotationConstants.java,AnnotationConstants,org.apache.ibatis.annotations,4,0,0,0,0,26,0,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\Arg.java,Arg,org.apache.ibatis.annotations,25,0,0,0,0,38,1,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\AutomapConstructor.java,User,org.apache.ibatis.annotations,11,0,0,0,0,31,0,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\CacheNamespace.java,CacheNamespace,org.apache.ibatis.annotations,21,0,0,0,0,41,1,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\CacheNamespaceRef.java,CacheNamespaceRef,org.apache.ibatis.annotations,13,0,0,0,0,38,0,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\Case.java,Case,org.apache.ibatis.annotations,14,0,0,0,0,34,0,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\ConstructorArgs.java,ConstructorArgs,org.apache.ibatis.annotations,12,0,0,0,0,39,0,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\Delete.java,Delete,org.apache.ibatis.annotations,21,0,0,0,0,40,0,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\DeleteProvider.java,DeleteProvider,org.apache.ibatis.annotations,23,0,0,0,0,47,0,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\Flush.java,Flush,org.apache.ibatis.annotations,11,0,0,0,0,34,0,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\Insert.java,Insert,org.apache.ibatis.annotations,21,0,0,0,0,41,0,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\InsertProvider.java,InsertProvider,org.apache.ibatis.annotations,23,0,0,0,0,48,0,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\Lang.java,Lang,org.apache.ibatis.annotations,13,0,0,0,0,40,1,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\Many.java,Many,org.apache.ibatis.annotations,15,0,0,0,0,32,0,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\MapKey.java,MapKey,org.apache.ibatis.annotations,12,0,0,0,0,39,0,0,0,0,0,1,mybatis
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\mybatis\src\main\java\org\apache\ibatis\annotations\Mapper.java,Mapper,org.apache.ibatis.annotations,13,0,0,0,0,38,0,0,0,0,0,1,mybatis
