file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v1\AnalyzerPicocli5.java,AnalyzerPicocli5,picocli.v1,187,20,20,25,0,2,0,0,0,0,10,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v1\EnginePicocli3.java,EnginePicocli3,picocli.v1,18,4,4,0,3,3,0,0,1,0,4,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v1\EnginePicocli6.java,EnginePicocli6,picocli.v1,175,18,18,27,0,2,0,0,0,0,10,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v1\EvaluatorPicocli14.java,EvaluatorPicocli14,picocli.v1,18,4,4,0,3,3,0,0,1,0,4,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v1\ExecutorPicocli1.java,ExecutorPicocli1,picocli.v1,180,20,20,23,0,2,0,0,0,0,10,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v1\OrchestratorPicocli11.java,OrchestratorPicocli11,picocli.v1,24,14,14,7,0,2,0,7,0,0,1,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v1\RegistryPicocli0.java,RegistryPicocli0,picocli.v1,12,4,4,1,0,5,0,3,3,0,3,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v2\DispatcherPicocli15.java,DispatcherPicocli15,picocli.v2,12,4,4,1,0,5,0,3,3,0,3,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v2\FormatterPicocli13.java,FormatterPicocli13,picocli.v2,12,4,4,1,0,5,0,3,3,0,3,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v2\ManagerPicocli7.java,ManagerPicocli7,picocli.v2,17,1,1,1,0,3,0,0,1,11,12,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v2\ResolverPicocli8.java,ResolverPicocli8,picocli.v2,12,4,4,1,0,5,0,3,3,0,3,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v2\SchedulerPicocli4.java,SchedulerPicocli4,picocli.v2,73,1,1,0,0,2,0,0,0,0,70,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v3\ApplicationPicocli2.java,ApplicationPicocli2,picocli.v3,70,1,1,0,0,2,0,0,0,0,67,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v3\ParserPicocli16.java,ParserPicocli16,picocli.v3,12,4,4,1,0,5,0,3,3,0,3,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v3\RegistryPicocli9.java,RegistryPicocli9,picocli.v3,12,4,4,1,0,5,0,3,3,0,3,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v3\TransformerPicocli10.java,TransformerPicocli10,picocli.v3,84,1,1,0,0,2,0,0,0,0,81,1,picocli-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli-sim\src\main\java\picocli\v3\TransformerPicocli12.java,TransformerPicocli12,picocli.v3,83,1,1,0,0,2,0,0,0,0,80,1,picocli-sim
