file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\annotation\processing\AbstractCommandSpecProcessor.java,AbstractCommandSpecProcessor,picocli.codegen.annotation.processing,885,50,50,6,39,154,1,48,90,181,466,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\annotation\processing\AnnotatedElementHolder.java,AnnotatedElementHolder,picocli.codegen.annotation.processing,25,2,2,1,0,15,0,1,2,2,3,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\annotation\processing\AnnotationValidator.java,AnnotationValidator,picocli.codegen.annotation.processing,222,17,17,3,12,54,1,17,23,41,48,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\annotation\processing\CompileTimeTypeInfo.java,CompileTimeTypeInfo,picocli.codegen.annotation.processing,225,15,15,2,1,49,1,15,21,26,23,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\annotation\processing\CompletionCandidatesMetaData.java,CompletionCandidatesMetaData,picocli.codegen.annotation.processing,51,5,5,1,0,23,1,4,8,5,3,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\annotation\processing\DefaultValueProviderMetaData.java,DefaultValueProviderMetaData,picocli.codegen.annotation.processing,45,5,5,1,0,18,0,4,6,1,3,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\annotation\processing\ITypeMetaData.java,ITypeMetaData,picocli.codegen.annotation.processing,9,0,0,0,0,7,0,0,0,0,0,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\annotation\processing\MixinInfo.java,MixinInfo,picocli.codegen.annotation.processing,75,6,6,4,0,15,1,3,7,9,19,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\annotation\processing\package-info.java,package-info,picocli.codegen.annotation.processing,1,0,0,0,0,1,0,0,0,0,0,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\annotation\processing\ParameterConsumerMetaData.java,ParameterConsumerMetaData,picocli.codegen.annotation.processing,56,5,5,1,0,27,1,4,8,5,3,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\annotation\processing\TypeConverterMetaData.java,TypeConverterMetaData,picocli.codegen.annotation.processing,56,5,5,1,0,23,1,4,10,6,3,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\annotation\processing\TypedMember.java,TypedMember,picocli.codegen.annotation.processing,115,19,19,0,0,44,1,0,17,19,4,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\annotation\processing\TypeUtil.java,TypeUtil,picocli.codegen.annotation.processing,14,0,0,0,0,4,0,0,2,4,0,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\annotation\processing\VersionProviderMetaData.java,VersionProviderMetaData,picocli.codegen.annotation.processing,43,5,5,1,0,17,0,4,6,1,3,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\DynamicProxyConfigGenerator.java,DynamicProxyConfigGenerator,picocli.codegen.aot.graalvm,132,3,3,0,1,57,0,0,18,6,5,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\JniConfigGenerator.java,JniConfigGenerator,picocli.codegen.aot.graalvm,88,1,1,0,0,35,0,0,5,4,0,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\OutputFileMixin.java,OutputFileMixin,picocli.codegen.aot.graalvm,33,1,1,0,1,9,0,0,7,2,0,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\package-info.java,package-info,picocli.codegen.aot.graalvm,1,0,0,0,0,3,0,0,0,0,0,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\ReflectionConfigGenerator.java,ReflectionConfigGenerator,picocli.codegen.aot.graalvm,565,31,31,14,18,136,1,27,55,103,51,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\ResourceConfigGenerator.java,ResourceConfigGenerator,picocli.codegen.aot.graalvm,119,4,4,0,2,51,0,0,11,2,9,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\processor\AbstractCompositeGeneratorProcessor.java,AbstractCompositeGeneratorProcessor,picocli.codegen.aot.graalvm.processor,33,1,1,0,0,19,1,0,4,0,14,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\processor\AbstractGenerator.java,AbstractGenerator,picocli.codegen.aot.graalvm.processor,57,7,7,2,0,22,0,6,5,5,14,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\processor\IGenerator.java,IGenerator,picocli.codegen.aot.graalvm.processor,7,0,0,0,0,5,0,0,0,0,0,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\processor\NativeImageConfigGeneratorProcessor.java,NativeImageConfigGeneratorProcessor,picocli.codegen.aot.graalvm.processor,28,0,0,0,0,23,1,0,1,0,0,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\processor\package-info.java,package-info,picocli.codegen.aot.graalvm.processor,1,0,0,0,0,3,0,0,0,0,0,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\processor\ProcessorUtil.java,ProcessorUtil,picocli.codegen.aot.graalvm.processor,37,0,0,0,0,9,0,0,4,1,0,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\processor\ProxyConfigGen.java,ProxyConfigGen,picocli.codegen.aot.graalvm.processor,19,1,1,0,0,11,1,0,3,1,7,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\processor\ReflectConfigGen.java,ReflectConfigGen,picocli.codegen.aot.graalvm.processor,14,1,1,0,0,10,1,0,1,0,0,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\aot\graalvm\processor\ResourceConfigGen.java,ResourceConfigGen,picocli.codegen.aot.graalvm.processor,25,1,1,0,0,12,1,0,4,2,0,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\docgen\manpage\ManPageGenerator.java,ManPageGenerator,picocli.codegen.docgen.manpage,631,13,13,0,2,136,1,0,56,9,10,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\docgen\manpage\package-info.java,package-info,picocli.codegen.docgen.manpage,1,0,0,0,0,8,0,0,0,0,0,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\util\Assert.java,Assert,picocli.codegen.util,13,0,0,0,0,3,0,0,2,0,0,1,picocli
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\picocli\picocli-codegen\src\main\java\picocli\codegen\util\JulLogFormatter.java,JulLogFormatter,picocli.codegen.util,20,0,0,0,0,8,1,0,3,6,0,1,picocli
