file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\CheckstyleConventions.java,CheckstyleConventions,org.springframework.build,48,1,1,0,0,38,0,0,9,19,16,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\ConventionsPlugin.java,ConventionsPlugin,org.springframework.build,17,1,1,0,0,37,0,0,1,1,8,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\JavaConventions.java,JavaConventions,org.springframework.build,76,3,3,4,2,55,0,3,10,15,19,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\KotlinConventions.java,KotlinConventions,org.springframework.build,67,2,2,0,2,44,0,0,7,17,30,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\SpringFrameworkExtension.java,SpringFrameworkExtension,org.springframework.build,29,2,2,1,1,26,0,2,5,5,8,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\TestConventions.java,TestConventions,org.springframework.build,69,5,5,0,5,48,0,0,8,17,22,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\architecture\ArchitectureCheck.java,ArchitectureCheck,org.springframework.build.architecture,97,2,2,1,0,57,1,1,9,4,3,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\architecture\ArchitecturePlugin.java,ArchitecturePlugin,org.springframework.build.architecture,46,2,2,0,1,36,0,0,7,16,24,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\architecture\ArchitectureRules.java,ArchitectureRules,org.springframework.build.architecture,72,3,3,1,0,39,0,3,7,2,9,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\dev\LocalDevelopmentPlugin.java,LocalDevelopmentPlugin,org.springframework.build.dev,23,2,2,1,1,28,0,2,5,4,9,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\hint\RuntimeHintsAgentArgumentProvider.java,RuntimeHintsAgentArgumentProvider,org.springframework.build.hint,22,0,0,0,0,29,1,0,2,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\hint\RuntimeHintsAgentExtension.java,RuntimeHintsAgentExtension,org.springframework.build.hint,6,0,0,0,0,26,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\hint\RuntimeHintsAgentPlugin.java,RuntimeHintsAgentPlugin,org.springframework.build.hint,69,1,1,2,0,58,0,0,13,27,20,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\multirelease\MultiReleaseExtension.java,MultiReleaseExtension,org.springframework.build.multirelease,94,5,5,5,4,55,0,2,21,31,24,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\multirelease\MultiReleaseJarPlugin.java,MultiReleaseJarPlugin,org.springframework.build.multirelease,46,2,2,0,0,45,0,0,8,12,22,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\multirelease\MultiReleaseJarValidateTask.java,MultiReleaseJarValidateTask,org.springframework.build.multirelease,22,0,0,0,0,29,1,0,1,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\optional\OptionalDependenciesPlugin.java,OptionalDependenciesPlugin,org.springframework.build.optional,24,1,1,0,0,33,0,0,4,9,13,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\main\java\org\springframework\build\shadow\ShadowSource.java,ShadowSource,org.springframework.build.shadow,131,15,15,7,7,53,1,10,16,10,15,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\buildSrc\src\test\java\org\springframework\build\multirelease\MultiReleaseJarPluginTests.java,MultiReleaseJarPluginTests,org.springframework.build.multirelease,143,5,5,3,4,47,0,5,11,6,3,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aop\aopajltwspring\ApplicationConfiguration.java,ApplicationConfiguration,org.springframework.docs.core.aop.aopajltwspring,7,0,0,0,0,21,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aop\aopajltwspring\CustomWeaverConfiguration.java,CustomWeaverConfiguration,org.springframework.docs.core.aop.aopajltwspring,14,1,1,0,0,25,0,0,0,0,3,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aop\aopatconfigurable\ApplicationConfiguration.java,ApplicationConfiguration,org.springframework.docs.core.aop.aopatconfigurable,7,0,0,0,0,21,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aop\ataspectj\aopaspectjsupport\ApplicationConfiguration.java,ApplicationConfiguration,org.springframework.docs.core.aop.ataspectj.aopaspectjsupport,7,0,0,0,0,21,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aop\ataspectj\aopataspectj\ApplicationConfiguration.java,ApplicationConfiguration,org.springframework.docs.core.aop.ataspectj.aopataspectj,9,1,1,0,0,22,0,0,0,0,4,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aop\ataspectj\aopataspectj\NotVeryUsefulAspect.java,NotVeryUsefulAspect,org.springframework.docs.core.aop.ataspectj.aopataspectj,5,0,0,0,0,20,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aop\ataspectj\aopataspectjexample\ApplicationConfiguration.java,ApplicationConfiguration,org.springframework.docs.core.aop.ataspectj.aopataspectjexample,15,1,1,0,0,23,0,0,1,2,6,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aop\ataspectj\aopataspectjexample\ConcurrentOperationExecutor.java,ConcurrentOperationExecutor,org.springframework.docs.core.aop.ataspectj.aopataspectjexample,36,4,4,3,0,27,0,3,2,0,3,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aop\ataspectj\aopataspectjexample\service\Idempotent.java,Idempotent,org.springframework.docs.core.aop.ataspectj.aopataspectjexample.service,6,0,0,0,0,22,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aop\ataspectj\aopataspectjexample\service\SampleService.java,SampleService,org.springframework.docs.core.aop.ataspectj.aopataspectjexample.service,12,1,1,0,0,24,0,0,1,1,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aopapi\aopapipointcutsregex\JdkRegexpConfiguration.java,JdkRegexpConfiguration,org.springframework.docs.core.aopapi.aopapipointcutsregex,13,1,1,0,0,22,0,0,1,1,5,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aopapi\aopapipointcutsregex\RegexpConfiguration.java,RegexpConfiguration,org.springframework.docs.core.aopapi.aopapipointcutsregex,15,1,1,0,0,23,0,0,1,2,6,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aot\hints\importruntimehints\SpellCheckService.java,SpellCheckService,org.springframework.docs.core.aot.hints.importruntimehints,20,2,2,0,0,28,0,0,2,1,3,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aot\hints\reflective\MyConfiguration.java,MyConfiguration,org.springframework.docs.core.aot.hints.reflective,7,0,0,0,0,21,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aot\hints\registerreflection\MyConfiguration.java,MyConfiguration,org.springframework.docs.core.aot.hints.registerreflection,10,0,0,0,0,25,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aot\hints\registerreflection\OrderService.java,OrderService,org.springframework.docs.core.aot.hints.registerreflection,10,1,1,0,0,22,0,0,0,0,2,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aot\hints\testing\SampleReflection.java,SampleReflection,org.springframework.docs.core.aot.hints.testing,19,1,1,1,0,26,0,0,4,2,11,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aot\hints\testing\SampleReflectionRuntimeHintsTests.java,SampleReflectionRuntimeHintsTests,org.springframework.docs.core.aot.hints.testing,24,0,0,0,0,38,0,0,5,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aot\hints\testing\SpellCheckServiceTests.java,SpellCheckServiceTests,org.springframework.docs.core.aot.hints.testing,21,1,1,0,0,29,0,0,2,0,3,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aot\refresh\AotProcessingSample.java,AotProcessingSample,org.springframework.docs.core.aot.refresh,24,1,1,0,0,27,0,0,1,0,7,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\beans\dependencies\beansfactorylazyinit\AnotherBean.java,AnotherBean,org.springframework.docs.core.beans.dependencies.beansfactorylazyinit,3,0,0,0,0,19,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\beans\dependencies\beansfactorylazyinit\ApplicationConfiguration.java,ApplicationConfiguration,org.springframework.docs.core.beans.dependencies.beansfactorylazyinit,16,0,0,0,0,24,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\beans\dependencies\beansfactorylazyinit\ExpensiveToCreateBean.java,ExpensiveToCreateBean,org.springframework.docs.core.beans.dependencies.beansfactorylazyinit,3,0,0,0,0,19,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\beans\dependencies\beansfactorylazyinit\LazyConfiguration.java,LazyConfiguration,org.springframework.docs.core.beans.dependencies.beansfactorylazyinit,7,0,0,0,0,22,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\beans\java\beansjavaprogrammaticregistration\MyBeanRegistrar.java,MyBeanRegistrar,org.springframework.docs.core.beans.java.beansjavaprogrammaticregistration,29,1,1,0,0,33,0,0,5,0,15,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\beans\java\beansjavaprogrammaticregistration\MyConfiguration.java,MyConfiguration,org.springframework.docs.core.beans.java.beansjavaprogrammaticregistration,7,0,0,0,0,22,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\expressions\expressionsbeandef\CustomerPreferenceDao.java,CustomerPreferenceDao,org.springframework.docs.core.expressions.expressionsbeandef,3,0,0,0,0,19,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\expressions\expressionsbeandef\FieldValueTestBean.java,FieldValueTestBean,org.springframework.docs.core.expressions.expressionsbeandef,12,2,2,1,0,20,0,1,0,0,3,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\expressions\expressionsbeandef\MovieFinder.java,MovieFinder,org.springframework.docs.core.expressions.expressionsbeandef,3,0,0,0,0,19,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\expressions\expressionsbeandef\MovieRecommender.java,MovieRecommender,org.springframework.docs.core.expressions.expressionsbeandef,11,0,0,2,0,21,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\expressions\expressionsbeandef\NumberGuess.java,NumberGuess,org.springframework.docs.core.expressions.expressionsbeandef,12,2,2,1,0,20,0,1,0,0,3,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\expressions\expressionsbeandef\PropertyValueTestBean.java,PropertyValueTestBean,org.springframework.docs.core.expressions.expressionsbeandef,12,2,2,1,0,20,0,1,0,0,3,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\expressions\expressionsbeandef\ShapeGuess.java,ShapeGuess,org.springframework.docs.core.expressions.expressionsbeandef,12,2,2,1,0,20,0,1,0,0,3,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\expressions\expressionsbeandef\SimpleMovieLister.java,SimpleMovieLister,org.springframework.docs.core.expressions.expressionsbeandef,13,1,1,2,0,22,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\validation\formatconfiguringformattingglobaldatetimeformat\ApplicationConfiguration.java,ApplicationConfiguration,org.springframework.docs.core.validation.formatconfiguringformattingglobaldatetimeformat,27,1,1,0,0,33,0,0,4,2,13,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\validation\validationbeanvalidationspringmethod\ApplicationConfiguration.java,ApplicationConfiguration,org.springframework.docs.core.validation.validationbeanvalidationspringmethod,11,0,0,0,0,22,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\validation\validationbeanvalidationspringmethodexceptions\ApplicationConfiguration.java,ApplicationConfiguration,org.springframework.docs.core.validation.validationbeanvalidationspringmethodexceptions,13,0,0,0,0,22,0,0,1,1,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\dataaccess\jdbc\jdbccomplextypes\SqlTypeValueFactory.java,SqlTypeValueFactory,org.springframework.docs.dataaccess.jdbc.jdbccomplextypes,30,2,2,0,0,29,0,0,4,3,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\dataaccess\jdbc\jdbccomplextypes\TestItem.java,TestItem,org.springframework.docs.dataaccess.jdbc.jdbccomplextypes,32,6,6,3,0,20,0,3,0,0,3,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\dataaccess\jdbc\jdbccomplextypes\TestItemStoredProcedure.java,TestItemStoredProcedure,org.springframework.docs.dataaccess.jdbc.jdbccomplextypes,23,0,0,0,0,31,1,0,3,5,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\dataaccess\jdbc\jdbcdatasource\BasicDataSourceConfiguration.java,BasicDataSourceConfiguration,org.springframework.docs.dataaccess.jdbc.jdbcdatasource,16,0,0,0,0,22,0,0,1,4,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\dataaccess\jdbc\jdbcdatasource\ComboPooledDataSourceConfiguration.java,ComboPooledDataSourceConfiguration,org.springframework.docs.dataaccess.jdbc.jdbcdatasource,17,0,0,0,0,23,0,0,1,4,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\dataaccess\jdbc\jdbcdatasource\DriverManagerDataSourceConfiguration.java,DriverManagerDataSourceConfiguration,org.springframework.docs.dataaccess.jdbc.jdbcdatasource,16,0,0,0,0,22,0,0,1,4,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\dataaccess\jdbc\jdbcembeddeddatabase\JdbcEmbeddedDatabaseConfiguration.java,JdbcEmbeddedDatabaseConfiguration,org.springframework.docs.dataaccess.jdbc.jdbcembeddeddatabase,17,0,0,0,0,25,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\dataaccess\jdbc\jdbcjdbctemplateidioms\CorporateEventDao.java,CorporateEventDao,org.springframework.docs.dataaccess.jdbc.jdbcjdbctemplateidioms,3,0,0,0,0,19,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\dataaccess\jdbc\jdbcjdbctemplateidioms\CorporateEventRepository.java,CorporateEventRepository,org.springframework.docs.dataaccess.jdbc.jdbcjdbctemplateidioms,3,0,0,0,0,19,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\dataaccess\jdbc\jdbcjdbctemplateidioms\JdbcCorporateEventDao.java,JdbcCorporateEventDao,org.springframework.docs.dataaccess.jdbc.jdbcjdbctemplateidioms,9,0,0,1,0,23,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\dataaccess\jdbc\jdbcjdbctemplateidioms\JdbcCorporateEventDaoConfiguration.java,JdbcCorporateEventDaoConfiguration,org.springframework.docs.dataaccess.jdbc.jdbcjdbctemplateidioms,21,0,0,0,0,5,0,0,1,4,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\dataaccess\jdbc\jdbcjdbctemplateidioms\JdbcCorporateEventRepository.java,JdbcCorporateEventRepository,org.springframework.docs.dataaccess.jdbc.jdbcjdbctemplateidioms,11,0,0,1,0,25,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\dataaccess\jdbc\jdbcjdbctemplateidioms\JdbcCorporateEventRepositoryConfiguration.java,JdbcCorporateEventRepositoryConfiguration,org.springframework.docs.dataaccess.jdbc.jdbcjdbctemplateidioms,18,0,0,0,0,4,0,0,1,4,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\integration\cache\cacheannotationenable\CacheConfiguration.java,CacheConfiguration,org.springframework.docs.integration.cache.cacheannotationenable,16,0,0,0,0,24,0,0,1,1,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\integration\cache\cachestoreconfigurationcaffeine\CacheConfiguration.java,CacheConfiguration,org.springframework.docs.integration.cache.cachestoreconfigurationcaffeine,12,0,0,0,0,23,0,0,0,0,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\integration\cache\cachestoreconfigurationcaffeine\CustomCacheConfiguration.java,CustomCacheConfiguration,org.springframework.docs.integration.cache.cachestoreconfigurationcaffeine,15,0,0,0,0,24,0,0,2,1,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\integration\cache\cachestoreconfigurationjdk\CacheConfiguration.java,CacheConfiguration,org.springframework.docs.integration.cache.cachestoreconfigurationjdk,29,0,0,0,0,26,0,0,3,3,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\integration\cache\cachestoreconfigurationjsr107\CacheConfiguration.java,CacheConfiguration,org.springframework.docs.integration.cache.cachestoreconfigurationjsr107,18,0,0,0,0,25,0,0,2,2,0,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\integration\cache\cachestoreconfigurationnoop\CacheConfiguration.java,CacheConfiguration,org.springframework.docs.integration.cache.cachestoreconfigurationnoop,22,2,2,0,2,24,0,0,2,2,3,1,spring-framework
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\integration\jms\jmsannotatedsupport\JmsConfiguration.java,JmsConfiguration,org.springframework.docs.integration.jms.jmsannotatedsupport,21,1,1,0,0,25,0,0,1,4,8,1,spring-framework
