file_path,class_name,package,LOC,WMC,METHODS,FIELDS,PRIVATE_METHODS,CBO,DIT,LCOM,TCC,ATFD,MAX_METHOD_LOC,NOC,project
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v1\AdapterSpring14.java,AdapterSpring14,spring.v1,12,4,4,1,0,5,0,3,3,0,3,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v1\AdapterSpring15.java,AdapterSpring15,spring.v1,27,16,16,8,0,2,0,8,0,0,1,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v1\CalculatorSpring9.java,CalculatorSpring9,spring.v1,84,1,1,0,0,2,0,0,0,0,81,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v1\ControllerSpring7.java,ControllerSpring7,spring.v1,22,5,5,0,4,3,0,0,1,0,4,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v1\CoordinatorSpring17.java,CoordinatorSpring17,spring.v1,12,4,4,1,0,5,0,3,3,0,3,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v1\DispatcherSpring10.java,DispatcherSpring10,spring.v1,18,1,1,1,0,3,0,0,1,12,13,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v1\FactorySpring13.java,FactorySpring13,spring.v1,12,4,4,1,0,5,0,3,3,0,3,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v1\ServiceSpring4.java,ServiceSpring4,spring.v1,22,5,5,0,4,3,0,0,1,0,4,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v2\CoordinatorSpring0.java,CoordinatorSpring0,spring.v2,146,15,15,21,0,2,0,0,0,0,10,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v2\ExecutorSpring1.java,ExecutorSpring1,spring.v2,197,21,21,28,0,2,0,0,0,0,10,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v2\FormatterSpring8.java,FormatterSpring8,spring.v2,33,20,20,10,0,2,0,10,0,0,1,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v2\ProcessorSpring11.java,ProcessorSpring11,spring.v2,12,4,4,1,0,5,0,3,3,0,3,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v2\ResolverSpring3.java,ResolverSpring3,spring.v2,182,19,19,27,0,2,0,0,0,0,10,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v3\FactorySpring16.java,FactorySpring16,spring.v3,30,7,7,0,6,3,0,0,1,0,4,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v3\FormatterSpring6.java,FormatterSpring6,spring.v3,18,4,4,0,3,3,0,0,1,0,4,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v3\ManagerSpring2.java,ManagerSpring2,spring.v3,74,1,1,0,0,2,0,0,0,0,71,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v3\ProcessorSpring12.java,ProcessorSpring12,spring.v3,12,4,4,1,0,5,0,3,3,0,3,1,spring-sim
C:\Users\Poula\Downloads\code_smell_project\code_smell_project\projects\spring-sim\src\main\java\spring\v3\ResolverSpring5.java,ResolverSpring5,spring.v3,30,18,18,9,0,2,0,9,0,0,1,1,spring-sim
